Código,Descripción,Código_de_Barras,Precio_de_Costo,Inventario
A20000,AGUJA CBX BORDAR CHINO 20000 BLISTER X1,140100020000,2887.06,1
A0010000,AGUJA CBX CIRCULAR N2.5 ACERO,290200010000             ,286.71,1
A0030000,AGUJA CBX CIRCULAR N3.5 ACERO,290200030000             ,339.3,1
A0050000,AGUJA CBX CIRCULAR N4.5 ACERO,290200050000             ,380.14,1
A010000S,AGUJA CBX TOMA PUNTOS X1 X115MM,A010000S                 ,772.35,1
A020000S,AGUJA CBX TOMA PUNTOS X1 X170MM,A020000S                 ,921.66,1
A010000,AGUJA CBX TOMA PUNTOS X12 X115MM,290600010000             ,9086.71,1
A020000,AGUJA CBX TOMA PUNTOS X12 X170MM,290600020000             ,10839.1,1
A100000,AGUJA COSER LANA ACERO X6UNID. SURT DE TAMANOS,050400100000             ,412.55,1
A40000,AGUJA COSER LANA CBX ACERO X6UNID. C/PUNTA,050400040000             ,695.78,1
A110000S,AGUJA COSER LANA PLASTICA X1UNID.,A110000S                 ,72.6,1
A110000,AGUJA COSER LANA PLASTICA X60UNID.,050400110000             ,3093.97,1
A3013,Aguja Croche Daily Acero,A3013                    ,334.33,1
A10002,AGUJA CROCHE N2 C/MANGO X1UNID.,310400010002             ,1355.53,1
A10025,AGUJA CROCHE N2.5 C/MANGO X1UNID.,310400010025             ,1420.43,1
A10003,AGUJA CROCHE N3 C/MANGO X1UNID.,310400010003             ,1487.82,1
A10035,AGUJA CROCHE N3.5 C/MANGO X1UNID.,310400010035             ,1585.18,1
A10004,AGUJA CROCHE N4 C/MANGO X1UNID.,310400010004             ,1635.12,1
A10045,AGUJA CROCHE N4.5 C/MANGO X1UNID.,310400010045             ,1710,1
A10005,AGUJA CROCHE N5 C/MANGO X1UNID.,310400010005             ,1784.88,1
A10055,AGUJA CROCHE N5.5 C/MANGO X1UNID.,310400010055             ,1957.14,1
A10006,AGUJA CROCHE N6 C/MANGO X1UNID.,310400010006             ,2126.88,1
A10007,AGUJA CROCHE N7 C/MANGO X1UNID.,310400010007             ,1560.22,1
A10008,AGUJA CROCHE N8 C/MANGO X1UNID.,310400010008             ,2643.64,1
A2049,AGUJA CROCHE SURT.X12UN. CON MANGO,9874988622049            ,10359.7,1
A8001,AGUJA CROCHET ALUMINIO N 2 AL 5,A8001                    ,1430.42,1
A8002,AGUJA CROCHET ALUMINIO N 5.5 AL 12,A8002                    ,1917.2,1
A0023S,AGUJA CROCHET DOBLE N2Y3 X1UNID.,A0023S                   ,1228.15,1
A0023,AGUJA CROCHET DOBLE N2Y3 X6UNID.,310200010023             ,7223.7,1
A0219,AGUJA INDIO X25UN. CHINA,A0219                    ,1155.81,1
A79,AGUJA LANA N7/9 X12UNI PLASTICA,A79                      ,99,1
A0003,AGUJA LONERO PLASTICA X12UNID.,A0003                    ,5389.31,1
A2020,AGUJA MAQUINA 2020 SINGER COMUN,A2020                    ,4273.72,1
A202009,AGUJA MAQUINA 2020 SINGER COMUN N09,7896785444305         ,4273.72,1
A202011,AGUJA MAQUINA 2020 SINGER COMUN N11,7896785444398     ,4273.72,1
A202014,AGUJA MAQUINA 2020 SINGER COMUN N14,037431889171,4273.72,1
A202012,AGUJA MAQUINA 2020 SINGER COMUN N16,037431889164,4273.72,1
A202016,AGUJA MAQUINA 2020 SINGER COMUN N16,7896785444596,4273.72,1
A202018,AGUJA MAQUINA 2020 SINGER COMUN N18,037431889195,4273.72,1
A202021,AGUJA MAQUINA 2020 SINGER COMUN N18,7896785470328            ,4273.72,1
A2025,AGUJA MAQUINA 2025 SINGER DOBLE CADA 1,A2025                    ,2196.79,1
A2045,AGUJA MAQUINA 2045 SINGER JERSEY,A2045,4519.35,1
A2045114,AGUJA MAQUINA 2045 SINGER JERSEY N14,037431889232         ,4519.35,1
A204516,AGUJA MAQUINA 2045 SINGER JERSEY N16,037431889249,4519.35,1
A2045116,AGUJA MAQUINA 2045 SINGER JERSEY N16,037431889249        ,4519.35,1
A2045118,AGUJA MAQUINA 2045 SINGER JERSEY N18,037431889256,4519.35,1
A2045121,AGUJA MAQUINA 2045 SINGER JERSEY N21,037431889225         ,4519.35,1
A2045109,AGUJA MAQUINA 2045 SINGER JERSEY N9,7896785445357            ,4519.35,1
A2045111,AGUJA MAQUINA 2045 SINGER JERSEY N9,7896785445463            ,4519.35,1
A10009,AGUJA MAQUINA CBX 2220 COMUN N09 X10UNID.,051100010009,1616.13,1
A705/130,AGUJA MAQUINA MULTIUSO x5,                         ,757.22,1
A9021,AGUJA MAQUINA N 9 AL 21 X12UNIDADES,A9021                    ,331.02,1
A6009,AGUJA MODISTA X25UNID. COSER A MANO,A6009,1773.86,1
A0672,AGUJA P/CIEGOS P/MANOS X12UNID.,A0672                    ,615.1,1
A0001,"AGUJA PELLONERO, LANA, MATAMBRE",A0001                    ,1020.38,1
A0900,AGUJA TEJER N. 9 A DOS,A0900                    ,2594.05,1
A0112,AGUJA TEJER N.1-1/2 A DOS,                         ,333.29,1
A0310,AGUJA TEJER N.10 A DOS,A0310                    ,2861.85,1
A0311,AGUJA TEJER N.11,A0311                    ,3595.79,1
